time,voltage,current,power
14:12:59,4.91,0.92,4.5172
14:13:00,4.92,0.94,4.6248
14:13:01,4.94,0.99,4.8906
14:13:02,4.9,0.97,4.7530003
14:13:03,4.91,1,4.91
14:13:04,4.94,1.02,5.0388
14:13:05,4.94,0.94,4.6436
14:13:06,4.91,0.93,4.5663
14:13:07,4.95,0.94,4.653
14:13:08,4.94,0.89,4.3966
14:13:09,4.89,0.95,4.6454997
14:13:10,4.9,0.97,4.7530003
14:13:11,4.92,1,4.92
14:13:12,4.91,0.96,4.7135997
14:13:13,4.93,0.92,4.5355997
14:13:14,4.9,0.93,4.557
14:13:15,4.91,0.93,4.5663
14:13:16,4.93,0.93,4.5849
14:13:17,4.92,0.97,4.7724004
14:13:18,4.88,0.93,4.5384
14:13:19,4.89,0.93,4.5477
14:13:20,4.91,0.91,4.4681
14:13:21,4.88,0.96,4.6848
14:13:22,4.94,0.93,4.5942
14:13:24,4.9,0.9,4.41
14:13:25,4.92,0.95,4.674
14:13:26,4.92,0.95,4.674
14:13:27,4.91,0.91,4.4681
14:13:28,4.92,0.94,4.6248
14:13:29,4.92,0.97,4.7724004
14:13:30,4.92,0.97,4.7724004