batch_size,learning_rate,seq_len,final_acc,final_loss,precision,recall,f1_score,training_time_s
4,0.01,4,0.9782501235788433,0.1513800498167198,0.9591577876195683,0.9586981715783263,0.9587088278998062,2285.58
4,0.01,8,0.9464816650148662,0.23420501837060193,0.9267613768943468,0.9402985823756084,0.93252817534784,1142.01
4,0.01,10,0.9888751545117429,0.06845709689067304,0.9704147567861102,0.9618974942457097,0.9660470244453034,908.49
4,0.01,20,0.9776119402985075,0.1038759987280259,0.9605943574418516,0.9682655937885685,0.9642151175038812,453.51
4,0.01,30,0.9702602230483272,0.0870641485368573,0.9281248294395275,0.9488074415666142,0.9367314670226156,318.89
4,0.01,40,0.9848484848484849,0.48646549623400387,0.9812055826697492,0.9885590599876314,0.9847826086956522,221.27
4,0.001,4,0.990608007909046,0.11198185599701078,0.9861798186243826,0.9848863419417544,0.9855240371725777,2270.75
4,0.001,8,0.9920713577799801,0.02214355261772143,0.9874605403862622,0.9847872327031724,0.9861093430023782,1129.85
4,0.001,10,0.9962917181705809,0.014688489721117144,0.9915743582509967,0.9915858219756835,0.9915789662056382,906.6
4,0.001,20,0.9925373134328358,0.022576973582751344,0.9861404890971636,0.9883897818188523,0.9872134923865148,452.3
4,0.001,30,0.9888475836431226,0.05778612780758224,0.979600724647351,0.977246053865421,0.9783545077336903,302.92
4,0.001,40,0.9949494949494949,0.020223779975701604,0.9965986394557823,0.9948979591836735,0.9957103516452479,218.17
4,0.0001,4,0.9896193771626297,0.0440825385011591,0.9881802169423974,0.9871960107952376,0.9876869028819658,2268.77
4,0.0001,8,0.9920713577799801,0.01554421752087935,0.9897895594922066,0.9892412916929576,0.9895143043161474,1131.31
4,0.0001,10,0.9913473423980222,0.027532459561971194,0.9902512601693035,0.9906912333117962,0.9904701250220894,912.95
4,0.0001,20,1.0,0.0031094380694552523,0.9897669562033046,0.9899450515777423,0.989849705498337,453.49
4,0.0001,30,0.9925650557620818,0.012238823938364209,0.9867794672255195,0.9864389897497507,0.9865864719188608,300.95
4,0.0001,40,0.98989898989899,0.014267321864737045,0.9914965986394557,0.9938157081014225,0.9926433310673095,223.99
8,0.01,4,0.9812160158180919,0.13260009838412043,0.9692103071608421,0.9690150517199486,0.9690803955959427,1210.31
8,0.01,8,0.9910802775024777,0.07670620194295094,0.9664235568801991,0.9704972053760272,0.9684151594653008,618.7
8,0.01,10,0.9666254635352287,0.3037980506008252,0.9429543610026971,0.9539849700027703,0.947850912982624,461.51
8,0.01,20,0.9800995024875622,0.08915448516357845,0.9641945971544655,0.9691780601643369,0.9665485413094997,232.64
8,0.01,30,0.9851301115241635,0.060148180058871015,0.950076311811872,0.9454327689602252,0.9465552865719004,155.37
8,0.01,40,0.9949494949494949,0.05973535632014286,0.9785877116804169,0.9564160029215448,0.9668314680617316,111.68
8,0.001,4,0.9886307464162135,0.12047225281355527,0.9863979457391123,0.9862331432885556,0.9863154748777763,1150.5
8,0.001,8,0.9950445986124876,0.014640424986422424,0.9745940743434106,0.9588861279290442,0.9655004422003793,575.22
8,0.001,10,0.992583436341162,0.028072579586990727,0.9861992587672868,0.9883335679203493,0.9872612298921121,460.59
8,0.001,20,0.9950248756218906,0.01782115448592125,0.9881944332634706,0.987409816985679,0.9877947548140953,233.51
8,0.001,30,0.9925650557620818,0.031643871570557563,0.9826309627435204,0.9828521144714816,0.9827409848989873,155.37
8,0.001,40,0.9949494949494949,0.037475795447044616,0.9965986394557823,0.9948979591836735,0.9957103516452479,111.24
8,0.0001,4,0.9915966386554622,0.038527638037827903,0.988416357065524,0.9886574681523135,0.9885343068322784,1163.28
8,0.0001,8,0.9930624380574826,0.020857169942794032,0.9879979295529727,0.9905401365480063,0.98925943061028,577.03
8,0.0001,10,0.9950556242274413,0.01731932394260972,0.9907687308953466,0.9928470966916036,0.9918029766229852,467.85
8,0.0001,20,0.9975124378109452,0.0056618762613996395,0.9883555441266312,0.9882487313535033,0.988298856169524,229.5
8,0.0001,30,0.9962825278810409,0.0165116125120413,0.9895222667044459,0.9880922155562022,0.9887951624840461,154.22
8,0.0001,40,0.98989898989899,0.029771914712237068,0.9909017009312838,0.9912646876932591,0.9910648471086442,111.61
16,0.01,4,0.9871478002965892,0.11386815897798674,0.9742322154609024,0.9743261177062723,0.9742199787405176,595.26
16,0.01,8,0.9881070366699702,0.054805924264740645,0.9701888327615151,0.974336345406307,0.9722273088737509,298.54
16,0.01,10,0.9913473423980222,0.0595802685827353,0.9760897172566274,0.983722898115745,0.9798378425524777,241.39
16,0.01,20,0.9502487562189055,0.8306175188269269,0.9746990904255688,0.9619822705883108,0.9680179516568703,122.05
16,0.01,30,0.9888475836431226,0.0501386020270905,0.97225297636883,0.9659972881984087,0.9689460985121583,81.37
16,0.01,40,0.98989898989899,0.2727694270576713,0.990324532131218,0.9844385089458981,0.9873206944157749,60.63
16,0.001,4,0.9901136925358379,0.08922832579844099,0.986555713084122,0.9865195164705474,0.9865368178290803,590.5
16,0.001,8,0.9960356788899901,0.017253540814451854,0.9888605719795291,0.9922920187857904,0.990558866130726,295.59
16,0.001,10,0.9938195302843016,0.019443073891132288,0.9869529185703992,0.9894696745420408,0.9881927715415375,237.2
16,0.001,20,0.9875621890547264,0.05485180060393075,0.9843297458305471,0.9901276787791256,0.9871912718757826,119.11
16,0.001,30,0.9962825278810409,0.018859959586933955,0.9882471443104406,0.9851619059344988,0.986649713622158,80.88
16,0.001,40,0.9949494949494949,0.02398607097128284,0.9965986394557823,0.9948979591836735,0.9957103516452479,60.06
16,0.0001,4,0.9911023232822541,0.03101965275255624,0.9880524395841404,0.9871026241799439,0.9875752778150867,592.88
16,0.0001,8,0.9930624380574826,0.015413112698646543,0.9898762277062737,0.9882839073384639,0.9890741755963727,295.12
16,0.0001,10,0.9913473423980222,0.026506134335521663,0.9882924513083327,0.9883897064385552,0.9883395280145773,237.64
16,0.0001,20,0.9925373134328358,0.03780580537904961,0.9862714524685074,0.9865580840771173,0.9864099606184876,119.62
16,0.0001,30,0.9925650557620818,0.021492378141594267,0.9819401735043376,0.9875012250055342,0.9846805259235605,81.08
16,0.0001,40,0.9949494949494949,0.024727427265124696,0.9909017009312838,0.9912646876932591,0.9910648471086442,64.31
32,0.01,4,0.9866534849233811,0.11448267955263697,0.976519172362091,0.9811642281925788,0.9787832923237612,316.29
32,0.01,8,0.9881070366699702,0.0735019869194663,0.9780459770320332,0.9840011684691337,0.9809841022221546,160.98
32,0.01,10,0.9876390605686032,0.1123820108308717,0.978320746686564,0.9740934829180029,0.9761120207827891,127.9
32,0.01,20,0.9900497512437811,0.07911093351380874,0.9599391795606085,0.9643960301013437,0.961274314421078,64.97
32,0.01,30,0.9962825278810409,0.025195595417102472,0.9825059063976599,0.9869096219520992,0.9846626663202007,44.48
32,0.01,40,0.9949494949494949,0.01940413371593964,0.9665124191483074,0.9835117759224903,0.9745135501648368,33.64
32,0.001,4,0.9871478002965892,0.07977608784490545,0.9832525986412813,0.9869912657502864,0.9851034394528493,317.21
32,0.001,8,0.9940535183349851,0.030906086641677766,0.9905138466554675,0.9900647480990413,0.9902859942783822,157.89
32,0.001,10,0.9962917181705809,0.017881761437549396,0.9898108236375603,0.9891726554921532,0.9894772048222501,128.27
32,0.001,20,0.9950248756218906,0.011641803351746933,0.9910305393458624,0.9899034748417078,0.9904590868958958,65.12
32,0.001,30,0.9962825278810409,0.014709551435403041,0.9849998129652489,0.9893825381368475,0.9871662058413833,44.75
32,0.001,40,0.9848484848484849,0.05598517255397511,0.9923551128448036,0.9938157081014225,0.9930518198421481,33.56
32,0.0001,4,0.990608007909046,0.02895122521913238,0.9867491090414106,0.9869848745183796,0.9868624103148175,312.93
32,0.0001,8,0.9950445986124876,0.020858436599737816,0.9858043732278381,0.9878662147855063,0.986829363392659,158.82
32,0.0001,10,0.9938195302843016,0.020789948148176314,0.9857596702356975,0.989880925949724,0.9878019122254325,128.66
32,0.0001,20,0.9950248756218906,0.03397919277345474,0.9838946363537915,0.9856025683202836,0.984740399727583,65.14
32,0.0001,30,0.9962825278810409,0.022413621499068122,0.9773471710324657,0.9831457769022408,0.9801239482072649,44.15
32,0.0001,40,0.9797979797979798,0.03432185430229039,0.9753036062469356,0.9758039579468151,0.9755357752415441,33.39
